"sigma_obs","beta_intercept"
0.327082416364466,-0.0976288485756909
0.335894076441561,-0.100301703772701
0.342061546118276,-0.0988051701811184
0.359910397292617,-0.0940214369341576
0.318521232342299,-0.0709796616225948
0.315399448259001,-0.108918929182651
0.325142205774064,-0.134105834729987
0.294594286864096,-0.0909170610608547
0.315835307286778,-0.14217574827537
0.299877510869211,-0.097253164033089
0.333539924917676,-0.104982887876001
0.304071448434558,-0.131492695937975
0.300452941580324,-0.0989406194850106
0.289210683805639,-0.0912435818243764
0.307919321697246,-0.102258874707839
0.288477160223596,-0.143072657385242
0.3426588277426,-0.0990149038446598
0.28769336673503,-0.112914126961057
0.310400655954438,-0.084812232548181
0.319194100037039,-0.0921929007329165
0.334717184765837,-0.0720604688853975
0.300966194414362,-0.126716292853584
0.348212916799479,-0.0813637199141179
0.308983863354627,-0.0995424005122098
0.297194513469472,-0.10261303040049
0.314144577987118,-0.152643771722967
0.310613789657472,-0.147761655678592
0.328693528184986,-0.112405054759642
0.30645681120417,-0.107757671816557
0.314727729912776,-0.0913701219183658
0.329547605060744,-0.118112202637533
0.346190328582368,-0.116225727109865
0.315304163742947,-0.121653339146591
0.298675351992263,-0.129696759611968
0.315442262455933,-0.118339207939364
0.312383437555154,-0.122665934801334
0.321210977874843,-0.118999708074573
0.304922035305982,-0.0941270730583654
0.336320160814603,-0.100458615828815
0.327662744008497,-0.162621571969862
0.304859557240065,-0.116254604886874
0.313036277884149,-0.0779554762057186
0.295373023268902,-0.148106937905308
